unidad_academica,carrera,id_estudiante,regular,cnt_readmisiones,calidad,anio_plan_estudios,fecha_ingreso,total_actividades
ESCINFO,PA,ESCINFO-3342,S,0,A,2015,28/02/2020,30
ESCINFO,PB,ESCINFO-5396,S,0,A,2017,12/12/2020,25
ESCINFO,PE,ESCINFO-3162,S,0,A,2020,03/07/2020,15
ESCINFO,PD,ESCINFO-5739,S,0,A,2019,03/12/2020,40
ESCINFO,PA,ESCINFO-4683,S,0,A,2015,15/03/2020,30
ESCINFO,PC,ESCINFO-5233,S,0,A,2019,12/05/2020,28
ESCINFO,PC,ESCINFO-5226,S,0,A,2019,12/05/2020,28
ESCINFO,PC,ESCINFO-5117,S,0,A,2019,14/12/2020,28
ESCINFO,PC,ESCINFO-5630,S,0,A,2019,19/12/2020,28
ESCINFO,PC,ESCINFO-5644,S,0,A,2019,30/01/2020,28
ESCINFO,PC,ESCINFO-5218,S,0,A,2019,12/04/2020,28
ESCINFO,PC,ESCINFO-5397,S,0,A,2019,12/12/2020,28
ESCINFO,PC,ESCINFO-5546,S,0,A,2019,14/12/2020,55
ESCINFO,PC,ESCINFO-5608,S,0,A,2019,15/12/2020,28
ESCINFO,PC,ESCINFO-5145,S,0,A,2019,30/11/2020,28
ESCINFO,PC,ESCINFO-5681,S,0,A,2019,31/01/2020,28
ESCINFO,PC,ESCINFO-5641,S,0,A,2019,30/01/2020,28
ESCINFO,PC,ESCINFO-5327,S,,A,2019,12/11/2020,28
ESCINFO,PC,ESCINFO-5522,S,,A,2019,14/12/2020,28
ESCINFO,PC,ESCINFO-5434,S,,A,2019,12/12/2020,28
ESCINFO,PC,ESCINFO-5457,S,0,A,2019,14/12/2020,28
ESCINFO,PC,ESCINFO-5684,S,0,A,2019,02/01/2020,28
ESCINFO,PC,ESCINFO-5580,S,0,A,2019,15/12/2020,28
ESCINFO,PC,ESCINFO-5165,S,0,A,2019,12/01/2020,55
ESCINFO,PC,ESCINFO-5320,S,0,A,2019,12/11/2020,28
ESCINFO,PC,ESCINFO-5621,S,0,A,2019,18/12/2020,28
ESCINFO,PC,ESCINFO-5765,S,0,A,2019,26/02/2020,28
ESCINFO,PC,ESCINFO-5767,S,0,A,2019,27/02/2020,28
ESCINFO,PE,989,S,0,A,2020,21/03/2020,15
ESCINFO,PB,ESCINFO-5184,S,0,A,2017,12/01/2020,25
ESCINFO,PA,ESCINFO-1431,S,0,A,2015,28/03/2020,30
