unidad_academica,id_estudiante,modalidad_cursa,distancia_sede,actividades_aprobadas,actividades_u12m
ESCINFO,ESCINFO-3342,D,-1,5,3
ESCINFO,ESCINFO-5396,P,-1,9,6
ESCINFO,ESCINFO-3162,P,3,1,0
ESCINFO,ESCINFO-5739,H,-1,5,2
ESCINFO,ESCINFO-4683,P,-1,9,4
ESCINFO,ESCINFO-5233,P,-1,7,0
ESCINFO,ESCINFO-5226,D,-1,7,4
ESCINFO,ESCINFO-5117,P,-1,3,1
ESCINFO,ESCINFO-5630,P,-1,6,4
ESCINFO,ESCINFO-5644,D,-1,1,0
ESCINFO,ESCINFO-5218,P,-1,6,2
ESCINFO,ESCINFO-5397,H,-1,4,1
ESCINFO,ESCINFO-5546,P,-1,11,7
ESCINFO,ESCINFO-5608,D,-1,4,1
ESCINFO,ESCINFO-5145,P,-1,3,2
ESCINFO,ESCINFO-5681,H,-1,1,0
ESCINFO,ESCINFO-5641,H,-1,3,1
ESCINFO,ESCINFO-5327,H,-1,4,0
ESCINFO,ESCINFO-5522,P,-1,8,4
ESCINFO,ESCINFO-5434,D,-1,0,0
ESCINFO,ESCINFO-5457,H,-1,10,5
ESCINFO,ESCINFO-5684,H,-1,6,3
ESCINFO,ESCINFO-5580,H,-1,2,0
ESCINFO,ESCINFO-5165,P,-1,8,2
ESCINFO,ESCINFO-5320,D,-1,11,7
ESCINFO,ESCINFO-5621,D,-1,3,1
ESCINFO,ESCINFO-5765,P,3,5,1
ESCINFO,ESCINFO-5767,H,-1,1,0
ESCINFO,989,P,-1,4,3
ESCINFO,ESCINFO-5184,D,-1,6,1
ESCINFO,ESCINFO-1431,D,-1,1,0
ESCINFO,ESCINFO-5312,P,-1,9,1
ESCINFO,ESCINFO-1056,P,-1,0,0
ESCINFO,ESCINFO-5554,D,1,3,0
ESCINFO,ESCINFO-5774,D,3,9,2
ESCINFO,ESCINFO-5775,P,-1,5,0
ESCINFO,ESCINFO-5708,H,-1,8,3
ESCINFO,ESCINFO-5576,D,-1,1,0
ESCINFO,ESCINFO-5385,P,-1,11,4
ESCINFO,ESCINFO-4751,H,-1,9,2
ESCINFO,3682,P,-1,0,0
ESCINFO,ESCINFO-5311,D,-1,11,5
ESCINFO,ESCINFO-5144,D,-1,10,6
ESCINFO,ESCINFO-5781,D,-1,8,3
ESCINFO,ESCINFO-5747,D,-1,3,0
ESCINFO,ESCINFO-5779,D,-1,7,1
ESCINFO,ESCINFO-5290,H,-1,3,0
ESCINFO,ESCINFO-5627,D,-1,15,9
ESCINFO,ESCINFO-5299,D,-1,14,6
ESCINFO,ESCINFO-5272,D,-1,0,0
ESCINFO,ESCINFO-5365,D,3,4,1
ESCINFO,ESCINFO-5417,D,-1,13,5
ESCINFO,ESCINFO-5239,H,3,1,0
ESCINFO,ESCINFO-5675,P,3,8,3
ESCINFO,ESCINFO-5190,H,-1,5,1
ESCINFO,ESCINFO-5567,D,1,0,0
ESCINFO,ESCINFO-5349,P,4,11,7
ESCINFO,ESCINFO-5452,P,-1,5,1
ESCINFO,ESCINFO-5783,P,-1,2,0
ESCINFO,ESCINFO-5569,H,4,0,0
ESCINFO,ESCINFO-5364,P,-1,4,2
ESCINFO,ESCINFO-5157,D,1,13,7
ESCINFO,ESCINFO-5788,P,-1,2,0
ESCINFO,ESCINFO-1963,D,3,18,6
ESCINFO,ESCINFO-3969,D,1,7,3
ESCINFO,775,H,1,15,8
ESCINFO,ESCINFO-444,D,-1,4,1
ESCINFO,ESCINFO-4269,H,-1,9,4
ESCINFO,ESCINFO-3384,D,-1,7,2
ESCINFO,ESCINFO-3005,P,-1,18,5
ESCINFO,ESCINFO-4340,D,-1,15,9
ESCINFO,ESCINFO-5789,P,-1,14,5
ESCINFO,ESCINFO-5409,D,-1,13,5
ESCINFO,ESCINFO-5328,P,-1,8,5
ESCINFO,ESCINFO-5324,H,-1,3,1
ESCINFO,ESCINFO-5228,H,-1,5,1
ESCINFO,ESCINFO-5565,D,3,4,1
ESCINFO,ESCINFO-5664,D,5,36,2
ESCINFO,ESCINFO-5771,P,1,0,0
ESCINFO,ESCINFO-5547,D,-1,8,1
ESCINFO,ESCINFO-5456,D,1,4,1
ESCINFO,ESCINFO-5170,P,1,7,4
ESCINFO,ESCINFO-5595,D,5,2,0
ESCINFO,ESCINFO-5287,D,5,7,1
ESCINFO,ESCINFO-5682,H,1,2,0
ESCINFO,ESCINFO-5509,D,3,8,1
ESCINFO,ESCINFO-5132,D,4,8,1
ESCINFO,ESCINFO-5793,H,3,7,2
ESCINFO,ESCINFO-5406,D,-1,13,7
ESCINFO,ESCINFO-5146,P,1,1,0
ESCINFO,ESCINFO-5163,H,-1,11,7
ESCINFO,ESCINFO-5790,D,3,0,0
ESCINFO,ESCINFO-5619,P,-1,5,3
ESCINFO,ESCINFO-5521,H,-1,1,0
ESCINFO,ESCINFO-5798,P,3,4,0
ESCINFO,ESCINFO-5343,P,1,13,6
ESCINFO,ESCINFO-5269,P,4,1,0
ESCINFO,ESCINFO-5194,P,3,5,3
ESCINFO,ESCINFO-5183,H,1,8,3
ESCINFO,ESCINFO-5506,P,1,2,0
ESCINFO,ESCINFO-5189,D,-1,12,4
ESCINFO,ESCINFO-5171,H,-1,7,4
ESCINFO,ESCINFO-5640,H,3,6,1
ESCINFO,ESCINFO-5224,D,-1,3,1
ESCINFO,ESCINFO-5330,D,-1,3,1
ESCINFO,ESCINFO-5161,P,-1,11,6
ESCINFO,ESCINFO-5612,D,-1,5,1
ESCINFO,ESCINFO-5637,D,-1,8,4
ESCINFO,ESCINFO-5231,D,3,8,1
ESCINFO,ESCINFO-5408,P,-1,9,0
ESCINFO,ESCINFO-5494,P,-1,6,1
ESCINFO,ESCINFO-5799,H,-1,0,0
ESCINFO,ESCINFO-5325,H,-1,2,0
ESCINFO,ESCINFO-5449,D,5,2,0
ESCINFO,ESCINFO-5306,P,5,8,3
ESCINFO,ESCINFO-5757,H,3,7,1
ESCINFO,ESCINFO-5718,D,-1,7,1
ESCINFO,ESCINFO-5428,H,4,5,0
ESCINFO,ESCINFO-5219,D,-1,4,0
ESCINFO,ESCINFO-5551,D,4,11,5
ESCINFO,ESCINFO-5421,H,3,4,2
ESCINFO,ESCINFO-5720,D,-1,9,5
ESCINFO,ESCINFO-5618,P,4,8,2
ESCINFO,ESCINFO-5223,D,1,10,6
ESCINFO,ESCINFO-5220,H,-1,4,0
ESCINFO,ESCINFO-5346,D,1,7,4
ESCINFO,ESCINFO-5136,P,3,4,2
ESCINFO,ESCINFO-5138,H,-1,4,2
ESCINFO,ESCINFO-5158,H,1,3,0
ESCINFO,ESCINFO-5248,H,3,7,2
ESCINFO,ESCINFO-5429,D,-1,13,6
