unidad_academica,id_estudiante,carrera,regular,cnt_readmisiones,calidad,anio_plan_estudios,fecha_ingreso,total_actividades
ESCINFO,ESCINFO-3342,PA,S,1.0,A,2015,28/02/2020,30
ESCINFO,ESCINFO-5396,PB,N,2.0,A,2017,12/12/2020,25
ESCINFO,ESCINFO-3162,PE,N,2.0,P,2020,03/07/2020,15
ESCINFO,ESCINFO-5739,PD,N,2.0,A,2019,03/12/2020,40
ESCINFO,ESCINFO-4683,PA,S,1.0,A,2015,15/03/2020,30
ESCINFO,ESCINFO-5233,PC,N,0.0,P,2019,12/05/2020,28
ESCINFO,ESCINFO-5226,PC,S,0.0,A,2019,12/05/2020,28
ESCINFO,ESCINFO-5117,PC,N,1.0,P,2019,14/12/2020,28
ESCINFO,ESCINFO-5630,PC,S,2.0,A,2019,19/12/2020,28
ESCINFO,ESCINFO-5644,PC,S,0.0,P,2019,30/01/2020,28
ESCINFO,ESCINFO-5218,PC,S,0.0,A,2019,12/04/2020,28
ESCINFO,ESCINFO-5397,PC,N,0.0,P,2019,12/12/2020,28
ESCINFO,ESCINFO-5546,PC,N,0.0,A,2019,14/12/2020,28
ESCINFO,ESCINFO-5608,PC,N,1.0,A,2019,15/12/2020,28
ESCINFO,ESCINFO-5145,PC,S,1.0,A,2019,30/11/2020,28
ESCINFO,ESCINFO-5681,PC,N,2.0,P,2019,31/01/2020,28
ESCINFO,ESCINFO-5641,PC,N,2.0,P,2019,30/01/2020,28
ESCINFO,ESCINFO-5327,PC,N,0.0,P,2019,12/11/2020,28
ESCINFO,ESCINFO-5522,PC,S,2.0,A,2019,14/12/2020,28
ESCINFO,ESCINFO-5434,PC,S,0.0,P,2019,12/12/2020,28
ESCINFO,ESCINFO-5457,PC,N,1.0,A,2019,14/12/2020,28
ESCINFO,ESCINFO-5684,PC,N,2.0,A,2019,02/01/2020,28
ESCINFO,ESCINFO-5580,PC,N,1.0,P,2019,15/12/2020,28
ESCINFO,ESCINFO-5165,PC,S,1.0,P,2019,12/01/2020,28
ESCINFO,ESCINFO-5320,PC,S,1.0,A,2019,12/11/2020,28
ESCINFO,ESCINFO-5621,PC,S,1.0,A,2019,18/12/2020,28
ESCINFO,ESCINFO-5765,PC,N,0.0,P,2019,26/02/2020,28
ESCINFO,ESCINFO-5767,PC,S,1.0,P,2019,27/02/2020,28
ESCINFO,ESCINFO-989,PE,S,2.0,A,2020,21/03/2020,15
ESCINFO,ESCINFO-5184,PB,S,1.0,P,2017,12/01/2020,25
ESCINFO,ESCINFO-1431,PA,N,1.0,P,2015,28/03/2020,30
ESCINFO,ESCINFO-5312,PD,N,1.0,P,2019,28/03/2020,40
ESCINFO,ESCINFO-1056,PA,N,1.0,P,2015,29/03/2020,30
ESCINFO,ESCINFO-5554,PC,N,0.0,P,2019,14/12/2020,28
ESCINFO,ESCINFO-5774,PA,N,0.0,P,2015,30/03/2020,30
ESCINFO,ESCINFO-5775,PA,N,0.0,P,2015,30/03/2020,30
ESCINFO,ESCINFO-5708,PC,N,2.0,A,2019,02/01/2020,28
ESCINFO,ESCINFO-5576,PC,S,1.0,P,2019,15/12/2020,28
ESCINFO,ESCINFO-5385,PD,S,1.0,A,2019,04/10/2020,40
ESCINFO,ESCINFO-4751,PA,S,1.0,P,2015,16/02/2020,30
ESCINFO,ESCINFO-3682,PA,N,2.0,P,2015,26/02/2020,30
ESCINFO,ESCINFO-5311,PA,S,1.0,A,2015,12/07/2020,30
ESCINFO,ESCINFO-5144,PC,S,1.0,A,2019,30/11/2020,28
ESCINFO,ESCINFO-5781,PA,S,1.0,A,2015,04/12/2020,30
ESCINFO,ESCINFO-5747,PA,S,2.0,P,2015,02/07/2020,30
ESCINFO,ESCINFO-5779,PA,S,2.0,P,2015,04/12/2020,30
ESCINFO,ESCINFO-5290,PC,S,2.0,P,2019,12/07/2020,28
ESCINFO,ESCINFO-5627,PA,S,0.0,A,2015,19/12/2020,30
ESCINFO,ESCINFO-5299,PA,S,1.0,A,2015,12/07/2020,30
ESCINFO,ESCINFO-5272,PA,S,2.0,P,2015,12/06/2020,30
ESCINFO,ESCINFO-5365,PA,S,1.0,P,2015,12/11/2020,30
ESCINFO,ESCINFO-5417,PA,S,2.0,A,2015,12/12/2020,30
ESCINFO,ESCINFO-5239,PA,S,1.0,P,2015,12/05/2020,30
ESCINFO,ESCINFO-5675,PA,S,1.0,A,2015,31/01/2020,30
ESCINFO,ESCINFO-5190,PA,N,0.0,P,2015,12/04/2020,30
ESCINFO,ESCINFO-5567,PA,N,1.0,P,2015,14/12/2020,30
ESCINFO,ESCINFO-5349,PB,N,2.0,A,2017,12/11/2020,25
ESCINFO,ESCINFO-5452,PA,S,1.0,P,2015,13/12/2020,30
ESCINFO,ESCINFO-5783,PA,S,1.0,P,2015,13/04/2020,30
ESCINFO,ESCINFO-5569,PA,N,1.0,P,2015,17/04/2020,30
ESCINFO,ESCINFO-5364,PB,N,2.0,A,2017,12/11/2020,25
ESCINFO,ESCINFO-5157,PA,N,2.0,A,2015,12/01/2020,30
ESCINFO,ESCINFO-5788,PB,N,1.0,P,2017,17/04/2020,25
ESCINFO,ESCINFO-1963,PA,S,1.0,A,2015,02/07/2018,30
ESCINFO,ESCINFO-3969,PA,N,0.0,P,2015,26/02/2018,30
ESCINFO,ESCINFO-775,PB,S,0.0,A,2017,19/05/2018,25
ESCINFO,ESCINFO-444,PB,N,2.0,P,2017,24/04/2018,25
ESCINFO,ESCINFO-4269,PA,S,0.0,A,2015,04/04/2020,30
ESCINFO,ESCINFO-3384,PA,S,1.0,P,2015,12/04/2018,30
ESCINFO,ESCINFO-3005,PA,N,2.0,P,2015,03/03/2018,30
ESCINFO,ESCINFO-4340,PA,S,1.0,A,2015,04/06/2020,30
ESCINFO,ESCINFO-5789,PA,N,0.0,A,2015,17/04/2020,30
ESCINFO,ESCINFO-5409,PC,S,2.0,A,2019,12/12/2020,28
ESCINFO,ESCINFO-5328,PA,N,1.0,A,2015,12/11/2020,30
ESCINFO,ESCINFO-5324,PB,S,1.0,A,2017,12/11/2020,25
ESCINFO,ESCINFO-5228,PD,S,0.0,P,2019,20/04/2020,40
ESCINFO,ESCINFO-5565,PA,S,2.0,P,2015,14/12/2020,30
ESCINFO,ESCINFO-5664,PA,N,2.0,A,2015,20/04/2020,30
ESCINFO,ESCINFO-5771,PA,S,1.0,P,2015,23/03/2020,30
ESCINFO,ESCINFO-5547,PA,S,2.0,P,2015,20/04/2020,30
ESCINFO,ESCINFO-5456,PB,N,1.0,P,2017,13/12/2020,25
ESCINFO,ESCINFO-5170,PA,S,0.0,A,2015,12/01/2020,30
ESCINFO,ESCINFO-5595,PB,S,1.0,P,2017,15/12/2020,25
ESCINFO,ESCINFO-5287,PC,S,0.0,P,2019,12/07/2020,28
ESCINFO,ESCINFO-5682,PE,N,1.0,P,2020,31/01/2020,15
ESCINFO,ESCINFO-5509,PA,S,1.0,P,2015,14/12/2020,30
ESCINFO,ESCINFO-5132,PC,S,2.0,P,2019,30/11/2020,28
ESCINFO,ESCINFO-5793,PB,N,2.0,P,2017,20/04/2020,25
ESCINFO,ESCINFO-5406,PA,S,0.0,A,2015,12/12/2020,30
ESCINFO,ESCINFO-5146,PC,N,2.0,P,2019,12/01/2020,28
ESCINFO,ESCINFO-5163,PA,S,1.0,A,2015,12/01/2020,30
ESCINFO,ESCINFO-5790,PA,N,1.0,P,2015,18/04/2020,30
ESCINFO,ESCINFO-5619,PA,S,1.0,A,2015,18/12/2020,30
ESCINFO,ESCINFO-5521,PB,N,1.0,P,2017,14/12/2020,25
ESCINFO,ESCINFO-5798,PA,S,2.0,P,2015,23/04/2020,30
ESCINFO,ESCINFO-5343,PA,S,0.0,A,2015,12/11/2020,30
ESCINFO,ESCINFO-5269,PA,N,1.0,P,2015,12/06/2020,30
ESCINFO,ESCINFO-5194,PC,N,1.0,A,2019,12/04/2020,28
ESCINFO,ESCINFO-5183,PB,S,1.0,A,2017,12/01/2020,25
ESCINFO,ESCINFO-5506,PA,S,1.0,P,2015,14/12/2020,30
