unidad_academica,id_estudiante,estado_civil,sexo,sit_laboral,tipo_residencia,anio_nacimiento,anio_egreso_med
ESCINFO,ESCINFO-3342,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5396,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-3162,1.0,1,No,1.0,2001,2018
ESCINFO,ESCINFO-5739,3.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-4683,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5233,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5226,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5117,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5630,2.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5644,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5218,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5397,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5546,2.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5608,1.0,1,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5145,1.0,1,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5681,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5641,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5327,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5522,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5434,2.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5457,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5684,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5580,1.0,1,No,1.0,2003,2019
ESCINFO,ESCINFO-5165,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5320,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5621,1.0,2,NC,2.0,2004,2020
ESCINFO,ESCINFO-5765,1.0,2,No,1.0,2004,2020
ESCINFO,ESCINFO-5767,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-989,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5184,2.0,2,NC,1.0,2002,2019
ESCINFO,ESCINFO-1431,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5312,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-1056,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5554,1.0,2,No,2.0,2001,2018
ESCINFO,ESCINFO-5774,1.0,1,No,2.0,2001,2019
ESCINFO,ESCINFO-5775,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5708,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5576,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5385,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-4751,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-3682,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5311,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5144,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5781,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5747,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5779,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5290,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5627,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5299,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5272,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5365,1.0,2,No,1.0,2002,2018
ESCINFO,ESCINFO-5417,1.0,1,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5239,1.0,2,No,1.0,2002,2019
ESCINFO,ESCINFO-5675,1.0,2,No,1.0,2003,2019
ESCINFO,ESCINFO-5190,1.0,1,NC,1.0,2003,2018
ESCINFO,ESCINFO-5567,1.0,1,No,1.0,2002,2019
ESCINFO,ESCINFO-5349,1.0,2,No,2.0,2001,2018
ESCINFO,ESCINFO-5452,1.0,2,NC,2.0,2002,2019
ESCINFO,ESCINFO-5783,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5569,1.0,1,No,1.0,2002,2018
ESCINFO,ESCINFO-5364,1.0,1,NC,1.0,2001,2019
ESCINFO,ESCINFO-5157,1.0,2,No,1.0,2003,2018
ESCINFO,ESCINFO-5788,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-1963,1.0,2,No,1.0,2002,2017
ESCINFO,ESCINFO-3969,1.0,1,NC,-1.0,2002,2017
ESCINFO,ESCINFO-775,1.0,2,Si,1.0,2002,2013
ESCINFO,ESCINFO-444,1.0,2,NC,1.0,2002,2016
ESCINFO,ESCINFO-4269,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-3384,1.0,1,NC,1.0,2001,2015
ESCINFO,ESCINFO-3005,1.0,2,NC,1.0,2002,2017
ESCINFO,ESCINFO-4340,1.0,1,NC,2.0,2002,2018
ESCINFO,ESCINFO-5789,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5409,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-5328,1.0,1,NC,1.0,2002,2019
ESCINFO,ESCINFO-5324,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5228,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-5565,1.0,1,No,2.0,2004,2020
ESCINFO,ESCINFO-5664,1.0,2,Si,1.0,2004,2020
ESCINFO,ESCINFO-5771,1.0,2,No,2.0,2001,2019
ESCINFO,ESCINFO-5547,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5456,1.0,1,No,1.0,2002,2018
ESCINFO,ESCINFO-5170,1.0,2,Si,1.0,2003,2019
ESCINFO,ESCINFO-5595,1.0,1,Si,1.0,2004,2020
ESCINFO,ESCINFO-5287,1.0,2,Si,1.0,2001,2019
ESCINFO,ESCINFO-5682,1.0,2,No,1.0,2004,2020
ESCINFO,ESCINFO-5509,1.0,1,No,1.0,2001,2019
ESCINFO,ESCINFO-5132,2.0,1,1,1.0,2001,2019
ESCINFO,ESCINFO-5793,1.0,1,No,1.0,2002,2019
ESCINFO,ESCINFO-5406,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5146,1.0,1,No,1.0,2003,2019
