,carrera,regular,cnt_readmisiones,calidad,estado_civil,sexo,sit_laboral,tipo_residencia,modalidad_cursa,distancia_sede,actividades_u12m,edad,inactividad,avance_carrera
0,PE,N,1.0,P,1.0,2,NC,-1.0,D,-1,1,20,2,0.26666666666666666
1,PA,S,1.0,P,1.0,2,NC,1.0,D,1,0,18,0,0.03333333333333333
2,PA,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,18,0,0.0
3,PC,S,0.0,P,1.0,1,NC,2.0,D,1,1,20,5,0.21428571428571427
4,PA,S,0.0,A,1.0,1,S,2.0,H,4,2,21,2,0.1
5,PC,N,1.0,P,1.0,1,NC,2.0,D,1,0,22,5,0.10714285714285714
6,PA,S,1.0,P,1.0,1,NC,-1.0,H,-1,6,22,2,0.6
7,PD,S,2.0,A,1.0,1,NC,1.0,D,1,7,21,1,0.35
8,PE,N,1.0,A,1.0,1,NC,-1.0,P,-1,1,18,0,0.13333333333333333
9,PA,N,2.0,P,1.0,2,NC,-1.0,H,-1,5,21,3,0.4666666666666667
10,PA,N,0.0,A,1.0,1,NC,-1.0,D,-1,6,19,3,0.5
11,PA,N,0.0,P,1.0,1,NC,-1.0,H,-1,1,19,2,0.23333333333333334
12,PE,N,1.0,P,1.0,1,NC,-1.0,H,-1,1,21,1,0.13333333333333333
13,PB,N,1.0,P,1.0,2,NC,2.0,H,2,0,20,1,0.04
14,PB,S,1.0,A,1.0,2,NC,-1.0,P,-1,5,20,3,0.48
15,PB,N,2.0,P,1.0,1,NC,1.0,H,1,2,20,2,0.24
16,PE,S,0.0,A,1.0,1,NC,-1.0,H,3,1,21,1,0.2
17,PB,N,1.0,A,1.0,2,NC,-1.0,P,-1,5,22,3,0.52
18,PE,N,0.0,P,1.0,1,NC,-1.0,H,3,0,21,1,0.13333333333333333
19,PB,S,2.0,P,1.0,2,NC,-1.0,P,-1,0,21,5,0.0
20,PA,N,1.0,P,1.0,2,NC,-1.0,D,-1,0,19,2,0.03333333333333333
21,PC,N,1.0,A,1.0,1,NC,-1.0,H,-1,1,19,1,0.10714285714285714
22,PB,S,1.0,P,1.0,1,NC,1.0,P,2,3,21,3,0.32
23,PC,S,1.0,A,1.0,2,NC,1.0,P,1,8,22,3,0.5
24,PC,N,2.0,P,1.0,2,NC,1.0,H,1,1,18,0,0.10714285714285714
25,PD,S,0.0,P,1.0,2,NC,1.0,D,1,0,21,4,0.075
26,PE,S,0.0,A,1.0,1,NC,1.0,H,3,2,21,1,0.26666666666666666
27,PD,N,0.0,A,1.0,2,N,2.0,P,1,5,18,0,0.25
28,PA,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,18,0,0.26666666666666666
29,PC,S,1.0,A,1.0,2,NC,-1.0,H,-1,6,19,2,0.42857142857142855
30,PC,S,1.0,A,1.0,1,NC,-1.0,H,3,5,21,2,0.39285714285714285
31,PB,S,1.0,A,1.0,1,NC,1.0,D,2,7,22,2,0.8
32,PE,N,0.0,P,1.0,2,NC,-1.0,P,3,1,20,2,0.26666666666666666
33,PB,N,1.0,P,1.0,2,NC,2.0,P,1,3,21,1,0.36
34,PE,N,2.0,P,1.0,1,NC,-1.0,D,-1,0,19,2,0.0
35,PB,S,2.0,A,1.0,1,NC,-1.0,D,1,9,21,2,0.84
36,PC,S,0.0,A,1.0,2,NC,-1.0,P,-1,5,22,3,0.2857142857142857
37,PA,N,1.0,P,1.0,2,NC,3.0,D,1,2,20,1,0.26666666666666666
38,PB,S,1.0,A,1.0,1,NC,-1.0,P,1,7,19,2,0.56
39,PB,S,1.0,P,1.0,1,NC,1.0,H,1,2,20,5,0.28
40,PC,N,1.0,P,1.0,2,NC,1.0,D,1,0,19,1,0.25
41,PA,N,1.0,P,1.0,2,NC,1.0,P,2,0,19,1,0.0
42,PC,N,1.0,A,1.0,2,NC,1.0,H,1,2,20,2,0.14285714285714285
43,PB,S,2.0,A,1.0,1,NC,4.0,H,-1,9,20,2,0.76
44,PA,N,2.0,A,1.0,2,NC,1.0,D,-1,6,19,1,0.4666666666666667
45,PC,S,1.0,A,1.0,1,NC,-1.0,P,-1,6,18,0,0.42857142857142855
46,PA,S,2.0,P,1.0,2,NC,-1.0,H,2,1,19,1,0.16666666666666666
47,PB,N,0.0,P,1.0,1,NC,2.0,P,3,3,21,3,0.44
