carrera,regular,cnt_readmisiones,calidad,estado_civil,sexo,sit_laboral,tipo_residencia,modalidad_cursa,distancia_sede,actividades_u12m,edad,inactividad,avance_carrera
PE,N,1.0,P,1.0,2,NC,-1.0,D,-1,1,20,2,0.26666666666666666
PA,S,1.0,P,1.0,2,NC,1.0,D,1,0,18,0,0.03333333333333333
PA,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,18,0,0.0
PC,S,0.0,P,1.0,1,NC,2.0,D,1,1,20,5,0.21428571428571427
PA,S,0.0,A,1.0,1,S,2.0,H,4,2,21,2,0.1
PC,N,1.0,P,1.0,1,NC,2.0,D,1,0,22,5,0.10714285714285714
PA,S,1.0,P,1.0,1,NC,-1.0,H,-1,6,22,2,0.6
PD,S,2.0,A,1.0,1,NC,1.0,D,1,7,21,1,0.35
PE,N,1.0,A,1.0,1,NC,-1.0,P,-1,1,18,0,0.13333333333333333
PA,N,2.0,P,1.0,2,NC,-1.0,H,-1,5,21,3,0.4666666666666667
PA,N,0.0,A,1.0,1,NC,-1.0,D,-1,6,19,3,0.5
PA,N,0.0,P,1.0,1,NC,-1.0,H,-1,1,19,2,0.23333333333333334
PE,N,1.0,P,1.0,1,NC,-1.0,H,-1,1,21,1,0.13333333333333333
PB,N,1.0,P,1.0,2,NC,2.0,H,2,0,20,1,0.04
PB,S,1.0,A,1.0,2,NC,-1.0,P,-1,5,20,3,0.48
PB,N,2.0,P,1.0,1,NC,1.0,H,1,2,20,2,0.24
PE,S,0.0,A,1.0,1,NC,-1.0,H,3,1,21,1,0.2
PB,N,1.0,A,1.0,2,NC,-1.0,P,-1,5,22,3,0.52
PE,N,0.0,P,1.0,1,NC,-1.0,H,3,0,21,1,0.13333333333333333
PB,S,2.0,P,1.0,2,NC,-1.0,P,-1,0,21,5,0.0
PA,N,1.0,P,1.0,2,NC,-1.0,D,-1,0,19,2,0.03333333333333333
PC,N,1.0,A,1.0,1,NC,-1.0,H,-1,1,19,1,0.10714285714285714
PB,S,1.0,P,1.0,1,NC,1.0,P,2,3,21,3,0.32
PC,S,1.0,A,1.0,2,NC,1.0,P,1,8,22,3,0.5
PC,N,2.0,P,1.0,2,NC,1.0,H,1,1,18,0,0.10714285714285714
PD,S,0.0,P,1.0,2,NC,1.0,D,1,0,21,4,0.075
PE,S,0.0,A,1.0,1,NC,1.0,H,3,2,21,1,0.26666666666666666
PD,N,0.0,A,1.0,2,N,2.0,P,1,5,18,0,0.25
PA,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,18,0,0.26666666666666666
PC,S,1.0,A,1.0,2,NC,-1.0,H,-1,6,19,2,0.42857142857142855
PC,S,1.0,A,1.0,1,NC,-1.0,H,3,5,21,2,0.39285714285714285
PB,S,1.0,A,1.0,1,NC,1.0,D,2,7,22,2,0.8
PE,N,0.0,P,1.0,2,NC,-1.0,P,3,1,20,2,0.26666666666666666
PB,N,1.0,P,1.0,2,NC,2.0,P,1,3,21,1,0.36
PE,N,2.0,P,1.0,1,NC,-1.0,D,-1,0,19,2,0.0
PB,S,2.0,A,1.0,1,NC,-1.0,D,1,9,21,2,0.84
PC,S,0.0,A,1.0,2,NC,-1.0,P,-1,5,22,3,0.2857142857142857
PA,N,1.0,P,1.0,2,NC,3.0,D,1,2,20,1,0.26666666666666666
PB,S,1.0,A,1.0,1,NC,-1.0,P,1,7,19,2,0.56
PB,S,1.0,P,1.0,1,NC,1.0,H,1,2,20,5,0.28
PC,N,1.0,P,1.0,2,NC,1.0,D,1,0,19,1,0.25
PA,N,1.0,P,1.0,2,NC,1.0,P,2,0,19,1,0.0
PC,N,1.0,A,1.0,2,NC,1.0,H,1,2,20,2,0.14285714285714285
PB,S,2.0,A,1.0,1,NC,4.0,H,-1,9,20,2,0.76
PA,N,2.0,A,1.0,2,NC,1.0,D,-1,6,19,1,0.4666666666666667
PC,S,1.0,A,1.0,1,NC,-1.0,P,-1,6,18,0,0.42857142857142855
PA,S,2.0,P,1.0,2,NC,-1.0,H,2,1,19,1,0.16666666666666666
PB,N,0.0,P,1.0,1,NC,2.0,P,3,3,21,3,0.44
PE,S,1.0,A,1.0,1,NC,4.0,D,1,4,21,1,0.4666666666666667
PB,N,1.0,P,1.0,2,NC,-1.0,D,-1,4,22,3,0.52
PB,N,2.0,A,1.0,1,NC,-1.0,D,1,7,20,3,0.6
PB,S,1.0,P,1.0,2,NC,2.0,H,1,3,21,1,0.44
PA,N,0.0,P,1.0,2,NC,-1.0,P,1,2,19,3,0.2
PD,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,19,1,0.3
PE,N,2.0,P,1.0,1,NC,-1.0,H,-1,0,18,0,0.06666666666666667
PA,S,1.0,P,1.0,1,NC,-1.0,H,2,2,21,1,0.26666666666666666
PA,S,1.0,A,1.0,1,NC,-1.0,D,-1,6,19,2,0.7333333333333333
PA,N,1.0,P,1.0,2,NC,2.0,H,-1,0,19,2,0.2
PA,N,2.0,P,1.0,2,S,4.0,H,2,0,19,1,0.03333333333333333
PA,S,0.0,P,1.0,2,NC,1.0,D,-1,3,21,3,0.36666666666666664
PD,N,1.0,P,1.0,2,NC,-1.0,P,-1,2,19,2,0.225
PA,S,2.0,P,1.0,2,NC,1.0,P,3,0,19,2,0.06666666666666667
PA,N,0.0,A,1.0,1,NC,1.0,H,-1,7,21,1,0.4666666666666667
PE,S,1.0,A,2.0,2,NC,-1.0,H,3,1,22,3,0.2
PB,S,1.0,P,1.0,1,NC,-1.0,H,-1,3,19,3,0.44
PB,S,2.0,A,1.0,1,NC,-1.0,D,-1,8,19,1,0.8
PC,S,1.0,A,1.0,2,NC,-1.0,H,-1,2,21,2,0.17857142857142858
PA,S,0.0,P,1.0,1,NC,1.0,H,3,0,18,0,0.03333333333333333
PE,S,0.0,A,1.0,2,NC,-1.0,H,-1,2,20,2,0.26666666666666666
PB,N,1.0,P,1.0,1,NC,-1.0,P,-1,2,18,0,0.24
PB,S,0.0,A,1.0,2,NC,1.0,H,1,4,19,2,0.56
PC,N,1.0,P,1.0,1,NC,-1.0,P,-1,1,20,1,0.25
PA,N,1.0,P,1.0,1,NC,2.0,H,1,0,21,1,0.13333333333333333
PC,N,2.0,P,1.0,2,NC,-1.0,D,-1,0,21,2,0.25
PE,S,1.0,A,1.0,1,NC,-1.0,H,3,4,21,1,0.4666666666666667
PB,S,1.0,A,1.0,2,NC,1.0,P,2,5,22,1,0.36
PB,N,0.0,A,1.0,2,NC,-1.0,D,-1,3,20,1,0.4
PE,S,1.0,A,1.0,1,NC,-1.0,P,-1,1,18,0,0.26666666666666666
PA,N,2.0,P,1.0,1,NC,2.0,P,3,0,20,1,0.06666666666666667
PA,S,1.0,P,1.0,1,NC,-1.0,P,-1,0,21,2,0.16666666666666666
PB,N,2.0,P,1.0,1,NC,-1.0,H,2,2,21,2,0.2
PC,N,2.0,P,1.0,1,NC,1.0,P,2,1,20,1,0.2857142857142857
PB,S,2.0,P,1.0,2,NC,-1.0,D,2,2,19,1,0.24
PE,S,1.0,P,1.0,2,NC,-1.0,H,3,0,21,1,0.13333333333333333
PE,S,1.0,A,1.0,1,NC,1.0,H,1,2,18,0,0.26666666666666666
